product_name,product_price,rating,global_review,past_month_order
"Tushbaby - Safety-Certified Hip Seat Baby Carrier - Mom’s Choice Award Winner, Seen on Shark Tank, Ergonomic Carrier & Extenders for Newborns & Toddlers (Carrier, Grey)",29,4.4,21784,800
"ALPINE Muffy Baby Ear Protection for Newborn and Babies up to 36 Months – Noise Reduction Earmuffs for Toddlers and Children – Comfortable Infant Ear Muffs Prevent Hearing Damage & Improve Sleep, Blue",49,4.6,0,50
"The Peanutshell 7 in 1 Baby Play Gym, Activity Center and Tummy Time Mat, Woodland Animals",16,4.8,25864,1000
Boon Cacti Bottle Cleaning Brush Set,28,4.8,16536,1000
"Simple Joys by Carter's Unisex Babies' Cotton Sleeper Gown, Pack of 3",9,4.5,2658,400
"Muslin Carseat Cover for Babies, Metplus Breathable Infant Carseat Cover Lightweight Baby Carrier Cover for Girls Boys, Fit Spring Summer/Hot Days/Warm Weather, Pink Floral",23,4.7,35380,4000
"Simple Joys by Carter's Unisex Babies' Muslin burp cloths, Pack of 7, Grey/White/Black, One Size",11,4.7,5671,100
"2-Pack Baby Silicone Bibs, Waterproof, Easy Wipe Silicone Bib for Babies, Toddlers, Baby Feeding Bibs with Large Food Catcher Pocket, Travel Bibs for Baby Girl, Boy, Food Grade BPA Free (Cloud Nine)",12,4.4,6350,1000
"Burt's Bees Baby Baby Girls' Mittens, No-Scratch Mitts, 100% Organic Cotton, Set of 3",7,4.8,0,800
"Orighty Burp Cloths, Super Soft & Highly Absorbent Coral Fleece, 20 x 10 Inch Gentle & Large Burp Rugs for Baby Sensitive Skin - Burping Cloths for Newborn Essential, 8 Pack",12,4.7,1151,600
"VISBL Baby Girl Headbands and Bows, Newborn Infant Toddler Nylon Hairbands Hair Accessories",104,4.3,5481,50
Pamo Babe Portable Crib for Baby Nursery Center Playard Baby Playpen Travel Crib Diaper Changer with Mattress,32,4.5,3038,1000
"Momcozy Baby Wrap Carrier Slings, Easy to Wear Infant Carrier Slings for Babies Girl and Boy, Adjustable Baby Carriers for Newborn up to 50 lbs, Black",14,4.8,23854,2000
Hudson Baby unisex-baby Cotton and Polyester Bibs,12,4.5,2134,900
Touched by Nature Unisex Baby Organic Cotton Socks,38,4.6,6941,5000
"1080P Baby Car Mirror, Shybaby 4.3'' Baby Car Camera Monitor 170° Wide View, HD Night Vision Function and Reusable Sucker Bracket, Safety Rear Facing Car Set Camera Infants Kids Toddlers Black",5,3.9,8470,2000
"FAREVER Baby Wipe Dispenser, 4 Pack Portable Refillable Wipe Holder, Reusable Lightweight Wipes Container Case Holder for Travel Wet Wipe Pouch, Floral",6,4.6,1764,600
"Konssy Muslin Baby Bibs 6 Pack Baby Bandana Drool Bibs Soft Cotton for Unisex Boys Girls, Absorbent Solid Colors Bibs",18,4.8,0,50
"Pigeon Breast Milk Storage Bag, Disposable Self Standing Bag, 5 Colourful Design, 50 Pcs (Pack of 2), 6 Oz",17,4.7,0,200
"3-Pack Baby Beanies, Baby Hats - Newborn Hats, Baby Boy Hats, Baby Girl Hats, Newborn Beanie, Baby Winter Hat, Baby Hat, Baby Boy Beanie, Baby Girl Beanie, Infant Beanie, Toddler Beanie (Mars, M)",15,4.6,1939,50
Boon Cacti Bottle Cleaning Brush Set,16,4.8,25864,4000
22 PCS Baby Headbands Soft Nylon Hairbands with Bows Girls Hair Accessories for Newborn Infant Toddler Kids Handmade,16,4.8,3450,1000
YEYA Upgrade No Drill Anti Tip Furniture Anchor,42,4.8,34196,4000
"RUVALINO Diaper Bag Backpack, Multifunction Travel Back Pack Maternity Baby Changing Bags, Large Capacity, Waterproof and Stylish, Gray",8,3.9,8470,600
IUMÉ Baby Crawling Pads Anti-Slip Knee Protect Baby’s Knee for Crawling,10,4.6,17167,8000
"Shynerk Baby Car Mirror, Rear Facing Car Seat Mirror Safety for Infant Newborn, Baby Mirror with Wide Rearview, Shatterproof & Easy Assembled Crash Tested",12,4.6,29030,20000
"NUK Comfy Orthodontic Pacifiers, 0-6 Months, Timeless Collection, 5 Count (Pack of 1)",9,4.7,3912,10000
"Tushbaby - Safety-Certified Hip Seat Baby Carrier - Mom’s Choice Award Winner, Seen on Shark Tank, Ergonomic Carrier & Extenders for Newborns & Toddlers (Carrier, Grey)",84,4.7,12352,2000
"Parker Baby Diaper Caddy - Nursery Storage Bin and Car Organizer for Diapers and Baby Wipes - Large, Grey",24,4.6,1458,1000
"JoyDow Baby Car Mirror with Night Light, Safety Rear Facing Car Seat Mirror for Infant Newborn, Wide Crystal Clear View 360° Adjustable, Crash Tested & 100% Shatterproof",20,4.9,1524,500
"Lutron Caseta Wireless Pedestal for Pico Smart Remote, L-PED1-WH, White",9,4.6,0,900
"Eascrozn Baby Pacifier Clip, 6 Pack Silicone Pacifier Holder with One Piece Design for Baby Boy and Girl, BPA Free Soft Flexible Paci Binky Clips",7,4.6,0,100
"hiccapop MiniPod Baby Dome for On the Go | Travel Baby Tent for Beach Protects from Sun, Wind, Bugs | Lightweight Portable Baby Bed, Baby Beach Tent for Baby | On the Go Baby Dome for Outside & Inside",84,4.7,6114,800
XMWEALTHY Unisex Infant Swaddle Blankets Soft Thick Fleece Knit Baby Girls Boys Stroller Wraps Newborn Baby Accessory Light Pink,23,4.6,0,100
"Baby Swaddle Set Newborn - Receiving Headband Blankets and Bow Hat,Newborn Essentials, Soft Nursery Swaddling Blankets，Stretchy Baby Blankets for Girls and Boys Unisex(Light Brown)",17,4.3,1753,1000
"ADOVEL Baby Bassinet Bedside Crib, Pack and Play with Mattress, Diaper Changer and Playards from Newborn to Toddles, Grey",198,4.7,0,3000
"Toy Straps for Baby,RTMOK 4pcs Silicone Setpacifier Clip,Applies to Car Seat Toy,Teether Toy,High Chair,Stroller Accessories,Baby Toy Clips,Cribs,Rocking Chair,Silicone Pacifier Clip",7,4.7,5671,50
"2-Pack Baby Silicone Bibs, Waterproof, Easy Wipe Silicone Bib for Babies, Toddlers, Baby Feeding Bibs with Large Food Catcher Pocket, Travel Bibs for Baby Girl, Boy, Food Grade BPA Free (Cloud Nine)",11,4.6,46714,10000
AMACOOL Battery Operated Stroller Fan Flexible Tripod Clip On Fan with 3 Speeds and Rotatable Handheld Personal Fan for Car Seat Crib Bike Treadmill (Black),29,4.8,50038,3000
"Baby Wipes, Pampers Sensitive Water Based Baby Diaper Wipes, Hypoallergenic and Unscented, 8 Pop-Top Packs with 4 Refill Packs for Dispenser Tub, 864 Total Wipes (Packaging May Vary)",15,4.8,2755,100
"Prohouse 40 PCS Baby Girl Hair Clips, Hair Bows for Girls Toddler Babies Kids Baby, Alligator Clip Hair Accessories",19,4.4,15016,3000
"HOFISH Maternity Nursing Bra for Breastfeeding Pregnancy Wireless Bralette with Pads, Extenders & Clips 3PACK S-XXL",16,3.7,0,1000
"Airplane Footrest Seat Extender for Kids: GEMGO Toddler Airplane Travel Bed, Portable Foot Rest Hammock for Flights - Leg Rest for Baby to Lie Down on Plane Travel Accessories",17,4.4,0,1000
"Accmor Hanging Baby Diaper Caddy Organizer, Diaper Stacker, Baby Crib Hanging Classified Storage Bag Organizer for Changing Table, Crib, Playard or Wall & Nursery Organization, White",39,4.8,23930,1000
